Parametry
Kanały,10
Lambda,1.0
Średnia rozmowa,20.0
Odchylenie,5.0
Min,10
Max,30
Czas,60

rho,Q,W
0.0,0.0,0.0
0.0,0.0,0.0
0.1,0.0,0.0
0.1,0.0,0.0
0.1,0.0,0.0
0.2,0.0,0.0
0.5,0.0,0.0
0.5,0.0,0.0
0.6,0.0,0.0
0.7,0.0,0.0
0.7,0.0,0.0
0.9,0.0,0.0
1.0,0.0,0.0
1.0,0.07142857142857142,0.07142857142857142
1.0,0.13333333333333333,0.13333333333333333
1.0,0.25,0.25
1.0,0.35294117647058826,0.35294117647058826
1.0,0.5555555555555556,0.5555555555555556
1.0,0.7368421052631579,0.7368421052631579
1.0,0.95,0.95
1.0,1.0952380952380953,1.0952380952380953
1.0,1.2272727272727273,1.2272727272727273
1.0,1.391304347826087,1.391304347826087
1.0,1.4583333333333333,1.4583333333333333
1.0,1.48,1.48
1.0,1.5769230769230769,1.5769230769230769
1.0,1.6296296296296295,1.6296296296296295
1.0,1.7857142857142858,1.7857142857142858
1.0,1.9655172413793103,1.9655172413793103
1.0,2.1333333333333333,2.1333333333333333
1.0,2.2903225806451615,2.2903225806451615
1.0,2.4375,2.4375
1.0,2.6363636363636362,2.6363636363636362
1.0,2.8529411764705883,2.8529411764705883
1.0,3.0285714285714285,3.0285714285714285
1.0,3.2222222222222223,3.2222222222222223
1.0,3.4054054054054053,3.4054054054054053
1.0,3.5789473684210527,3.5789473684210527
1.0,3.7435897435897436,3.7435897435897436
1.0,3.9,3.9
1.0,4.048780487804878,4.048780487804878
1.0,4.190476190476191,4.190476190476191
1.0,4.325581395348837,4.325581395348837
1.0,4.431818181818182,4.431818181818182
1.0,4.555555555555555,4.555555555555555
1.0,4.673913043478261,4.673913043478261
1.0,4.787234042553192,4.787234042553192
1.0,4.895833333333333,4.895833333333333
1.0,4.979591836734694,4.979591836734694
1.0,5.06,5.06
1.0,5.117647058823529,5.117647058823529
1.0,5.1923076923076925,5.1923076923076925
1.0,5.264150943396227,5.264150943396227
1.0,5.333333333333333,5.333333333333333
1.0,5.418181818181818,5.418181818181818
1.0,5.5,5.5
1.0,5.578947368421052,5.578947368421052
1.0,5.655172413793103,5.655172413793103
1.0,5.728813559322034,5.728813559322034
1.0,5.8,5.8
